id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,Category
58061,Women,Accessories,Jewellery,Earrings,Sea Green,Fall,2012.0,Casual,Rreverie Sea Green Earrings,Accessories
51253,Men,Accessories,Belts,Belts,Brown,Summer,2012.0,Formal,Park Avenue Men Brown Belt,Accessories
57845,Unisex,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,Lino Perros Unisex Black Sling Bag,Accessories
38488,Women,Accessories,Belts,Belts,Bronze,Summer,2012.0,Casual,Baggit Women Charmy Jassy Bronze Belt,Accessories
18039,Women,Accessories,Bags,Handbags,Grey,Winter,2015.0,Casual,Lino Perros Women Solid Grey Handbag,Accessories
31862,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Titan Men Black Dial Watch,Accessories
9582,Unisex,Accessories,Bags,Backpacks,Purple,Fall,2011.0,Casual,Puma Unisex Flow Purple Backpacks,Accessories
37292,Women,Accessories,Watches,Watches,Steel,Winter,2016.0,Casual,CASIO ENTICER Women White Dial Analogue Watch A445 ,Accessories
23274,Men,Accessories,Watches,Watches,White,Summer,2017.0,Casual,Maxima Men White Dial Watch,Accessories
19896,Men,Accessories,Belts,Belts,Brown,Summer,2011.0,Casual,Lee Men Leather Brown Belt,Accessories
23282,Men,Accessories,Watches,Watches,Off White,Winter,2016.0,Casual,Maxima Men Off White Dial Watch,Accessories
42887,Women,Accessories,Bags,Clutches,Beige,Summer,2012.0,Casual,French Connection Women Beige Clutch,Accessories
46140,Women,Accessories,Jewellery,Necklace and Chains,Gold,Fall,2012.0,Ethnic,Adrika Women Golden Necklace,Accessories
56211,Women,Accessories,Jewellery,Pendant,Gold,Winter,2015.0,Casual,Estelle Women Gold Pendant,Accessories
51921,Women,Accessories,Bags,Handbags,Off White,Summer,2016.0,Casual,Nyk Women Off White Albedo Handbag,Accessories
17425,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Casio Enticer Men White Dial Multi-Dial Analogue Watch MTP-1192E-7ADF(A166),Accessories
9795,Unisex,Accessories,Bags,Backpacks,Red,Fall,2011.0,Casual,ADIDAS Unisex NBA Bulls BP Red Backpacks,Accessories
39526,Unisex,Accessories,Bags,Laptop Bag,Black,Summer,2012.0,Casual,Peter England Unisex Black Sleeve Bag,Accessories
48738,Men,Accessories,Jewellery,Bangle,Steel,Fall,2012.0,Casual,Revv Men Steel Bangle,Accessories
30184,Women,Accessories,Bags,Handbags,Pink,Summer,2012.0,Casual,Nike Women Athletes Rowena Pink Handbag,Accessories
29943,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Police Men Black Dual Dial Watch PL13076JPCL-04,Accessories
50243,Women,Accessories,Bags,Handbags,Red,Summer,2012.0,Casual,Stoln Women Red Handbag,Accessories
45247,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Casio Vintage Collection Digital Watch F-94WA-9DG(D053),Accessories
48908,Women,Accessories,Jewellery,Pendant,Silver,Summer,2013.0,Casual,Lucera Women Silver Pendant,Accessories
37437,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,Murcia Women Brown Handbag,Accessories
59532,Women,Accessories,Jewellery,Earrings,Gold,Summer,2013.0,Casual,Lucera Gold Plated Earrings,Accessories
22006,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Murcia Women Casual Brown Handbag,Accessories
38373,Men,Accessories,Belts,Belts,Tan,Summer,2012.0,Casual,Peter England Men Tan Belt,Accessories
33870,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Citizen Men Black Dial Chronograph Watch AN3420-51L,Accessories
38054,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Q&Q Men Black Digital Watch,Accessories
33378,Women,Accessories,Bags,Clutches,Black,Fall,2012.0,Casual,Baggit Women Slap Crush Black Clutch,Accessories
8096,Men,Accessories,Watches,Watches,Brown,Winter,2016.0,Casual,Fastrack Men Bikers Analog Steel Brown Watch,Accessories
19212,Men,Accessories,Belts,Belts,Black,Summer,2011.0,Casual,United Colors of Benetton Men Solid Black Belt,Accessories
43794,Women,Accessories,Jewellery,Earrings,Green,Summer,2012.0,Ethnic,Royal Diadem Gold & Green Earrings,Accessories
17369,Men,Accessories,Accessories,Accessory Gift Set,Purple,Fall,2011.0,Formal,Arrow Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack,Accessories
19917,Unisex,Accessories,Bags,Backpacks,Black,Winter,2015.0,Casual,Wildcraft Unisex Black Backpack,Accessories
29447,Men,Accessories,Watches,Watches,Bronze,Winter,2016.0,Casual,Giordano Men Bronze Dial Watch,Accessories
59554,Women,Accessories,Jewellery,Bangle,Silver,Summer,2013.0,Casual,Lucera Silver Bangle,Accessories
41253,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Formal,Arrow Men Black & Brown Reversible Belt,Accessories
29503,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Giordano Women White Dial Watch,Accessories
8132,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Fastrack Women Core Analog White Steel Watch,Accessories
23106,Men,Accessories,Accessories,Accessory Gift Set,Maroon,Winter,2011.0,Formal,Turtle Men Formal Maroon Accessory Gift Set,Accessories
53963,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,Kiara Women Brown Handbag,Accessories
36622,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Wills Lifestyle Men Leather Black Belt,Accessories
25199,Women,Accessories,Bags,Handbags,Beige,Winter,2015.0,Casual,Lino Perros Women Leatherette Beige Handbag,Accessories
10312,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Esprit Women Spark Black White Silver Watches,Accessories
58206,Men,Accessories,Belts,Belts,Blue,Summer,2012.0,Casual,New Hide Men Multi-Coloured Belt,Accessories
25164,Women,Accessories,Bags,Handbags,Black,Winter,2015.0,Casual,Lino Perros Women Leatherette Black Handbag,Accessories
20928,Women,Accessories,Bags,Backpacks,Black,Winter,2016.0,Casual,Fastrack Women Black Backpack,Accessories
59215,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Titan Men Black Watch,Accessories
2669,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Murcia Women Khaki Leatherette Hand Bag,Accessories
25276,Women,Accessories,Bags,Handbags,Red,Summer,2012.0,Casual,Lino Perros Women Leatherite Red Handbag,Accessories
29746,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fossil Men Quartz Black Dial Chronograph Watch FS4682,Accessories
48577,Men,Accessories,Jewellery,Bracelet,Steel,Summer,2012.0,Casual,Revv Men Steel Bracelet,Accessories
49009,Women,Accessories,Jewellery,Ring,Silver,Summer,2012.0,Casual,Lucera Women Silver Ring,Accessories
38369,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Peter England Men Black Belt,Accessories
33878,Men,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Citizen Men Silver Dial Watch,Accessories
48117,Women,Accessories,Belts,Belts,Silver,Summer,2012.0,Casual,Fossil Women Silver Sasha Belt,Accessories
58042,Women,Accessories,Jewellery,Earrings,Silver,Fall,2012.0,Casual,Rreverie Silver Earrings,Accessories
1943,Unisex,Accessories,Bags,Duffel Bag,Grey,Summer,2011.0,Casual,Domyos Grey Duffle Duffle Bag,Accessories
48114,Women,Accessories,Belts,Belts,Multi,Summer,2012.0,Casual,Fossil Women Multi Coloured Quilted Squares Belt,Accessories
32349,Men,Accessories,Watches,Watches,Steel,Winter,2016.0,Casual,Q&Q Men Steel Watch,Accessories
42629,Women,Accessories,Jewellery,Earrings,Gold,Winter,2016.0,Casual,Estelle Women Earrings,Accessories
39512,Unisex,Accessories,Bags,Backpacks,Black,Summer,2012.0,Casual,Peter England Unisex Black Backpack,Accessories
50831,Men,Accessories,Belts,Belts,Black,Winter,2012.0,Smart Casual,New Hide Men Black & Brown Reversible Leather Belt,Accessories
32327,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Q&Q Men White Dial Watch,Accessories
56198,Women,Accessories,Jewellery,Bracelet,Gold,Winter,2015.0,Casual,Estelle Women Gold Bracelet,Accessories
20852,Women,Accessories,Bags,Handbags,Yellow,Winter,2015.0,Casual,Spice Art Women Golden Yellow HandBag,Accessories
37423,Women,Accessories,Bags,Handbags,Purple,Summer,2012.0,Casual,Murcia Women Office Purple Handbag,Accessories
49552,Women,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,Rocia Women Black Handbag,Accessories
29531,Women,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Playboy Women Black Dial Watch,Accessories
36781,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Maxima Men Black Watch,Accessories
46980,Women,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,Bulchee Women Black Handbag,Accessories
25859,Unisex,Accessories,Bags,Laptop Bag,Black,Winter,2015.0,Casual,American Tourister Unisex Speedair Black Small Laptop Bag,Accessories
37471,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Esprit Women Silver Dial Watch,Accessories
29439,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Giordano Men Black Dial Watch,Accessories
54040,Women,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,Kiara Women Black Handbag,Accessories
38963,Unisex,Accessories,Bags,Rucksacks,Yellow,Winter,2018.0,Casual,Wildcraft Unisex Yellow & Grey Colourblocked Rucksack,Accessories
52178,Women,Accessories,Jewellery,Ring,Silver,Fall,2012.0,Casual,Lencia Women Sterling Silver Ring,Accessories
36794,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Maxima Men White Dial Attivo Watch,Accessories
24654,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Murcia Women Brown Casual Handbag,Accessories
49024,Women,Accessories,Jewellery,Ring,Silver,Summer,2013.0,Casual,Lucera Women Set of Two Silver Ring,Accessories
1646,Women,Accessories,Bags,Backpacks,Grey,Summer,2011.0,Sports,Quechua Ultralight Backpack 16 Ltr Grey Bag,Accessories
49575,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Formal,Reid & Taylor Men Black & Brown Reversible Belt,Accessories
54016,Women,Accessories,Bags,Handbags,Red,Summer,2012.0,Casual,Kiara Women Red Handbag,Accessories
22970,Unisex,Accessories,Bags,Backpacks,Black,Summer,2011.0,Casual,U.S. Polo Assn. Black Unisex Lug-Laptop Backpacks,Accessories
47343,Women,Accessories,Bags,Handbags,Tan,Summer,2012.0,Casual,Baggit Women Brown Handbag,Accessories
25607,Men,Accessories,Watches,Watches,Steel,Winter,2016.0,Casual,Fastrack Men Steel Watch,Accessories
9495,Unisex,Accessories,Bags,Backpacks,Black,Fall,2011.0,Casual,Puma Unisex Blaze Black Backpacks,Accessories
53104,Women,Accessories,Jewellery,Earrings,Silver,Winter,2016.0,Casual,Fabindia Silver & Gold Earrings,Accessories
48701,Women,Accessories,Jewellery,Earrings,Silver,Summer,2013.0,Casual,Lucera Women Silver Earrings,Accessories
23292,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Maxima Ssteele Men White Watch,Accessories
35327,Women,Accessories,Jewellery,Earrings,Silver,Winter,2016.0,Ethnic,Fabindia Women Anusuya Silver Earrings,Accessories
25250,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,Lino Perros Women Brown Handbag,Accessories
40554,Women,Accessories,Watches,Watches,Maroon,Winter,2016.0,Casual,Titan Women Maroon Dial Watch,Accessories
8928,Men,Accessories,Belts,Belts,Red,Summer,2012.0,Casual,Puma Men Ferrari Replica Red Belt,Accessories
53894,Women,Accessories,Bags,Handbags,Beige,Summer,2012.0,Casual,Kiara Women Beige Handbag,Accessories
54384,Women,Accessories,Bags,Handbags,Olive,Fall,2012.0,Casual,Baggit Women Olive Green Handbag,Accessories
32365,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Q&Q Men White Dial Watch R348,Accessories
52594,Women,Accessories,Bags,Clutches,Pink,Summer,2012.0,Casual,Mod-acc Women Pink Clutch,Accessories
47126,Women,Accessories,Bags,Handbags,Orange,Summer,2015.0,Casual,Be For Bag Women Orange And Black Tote Bag,Accessories
45303,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Formal,Van Heusen Men Black & Brown Reversible Belt,Accessories
21952,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Murcia Women Casual Brown Handbag,Accessories
46439,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Timex Men Black Dial Chronograph Watch,Accessories
33898,Men,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Citizen Men White Dial Watch,Accessories
53578,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Q&Q Women White Dial Watch,Accessories
2671,Women,Accessories,Bags,Handbags,Gold,Winter,2015.0,Casual,Murcia Women Funky Print Hand Bag,Accessories
24483,Women,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Esprit Women Vital Crystal Rose Black Watch,Accessories
52579,Women,Accessories,Bags,Clutches,Beige,Summer,2012.0,Casual,Mod'acc Women Beige Clutch,Accessories
46071,Men,Accessories,Belts,Belts,Black,Summer,2015.0,Casual,Lino Perros Men Black Leather Belt,Accessories
10141,Women,Accessories,Watches,Watches,Gold,Winter,2016.0,Casual,Esprit Women Houston White Gold Links Gold Watches,Accessories
43159,Women,Accessories,Watches,Watches,Steel,Winter,2016.0,Casual,Fastrack Women Steel Dial Watch,Accessories
32348,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Q&Q Men Black Dial Watch,Accessories
25285,Women,Accessories,Bags,Handbags,Black,Fall,2012.0,Casual,Lino Perros Women Black Handbag,Accessories
21709,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fossil Men Quartz Black Dial Watch JR1338,Accessories
39016,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,CASIO ENTICER Women White Dial Analogue Watch A624,Accessories
53362,Unisex,Accessories,Bags,Backpacks,Charcoal,Summer,2012.0,Casual,Puma Unisex Charcoal Backpack,Accessories
41241,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Formal,Arrow Men Black & Brown Reversible Belt,Accessories
54151,Women,Accessories,Jewellery,Necklace and Chains,Gold,Fall,2012.0,Casual,Femella Golden Necklace,Accessories
29490,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Giordano Women Silver Dial Watch,Accessories
45266,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Sports,CASIO G-Shock Men Black Digital Watch GD-100-1BDR G310,Accessories
57459,Women,Accessories,Bags,Clutches,Red,Summer,2010.0,Casual,Pitaraa Women Red Clutch,Accessories
