id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,Category
11296,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Wrangler Men Blue Custom Jeans,Bottomwear
9145,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2013.0,Casual,Lee Women Rinsed Blue Roxy Fit Jeans,Bottomwear
6579,Men,Apparel,Bottomwear,Shorts,Navy Blue,Fall,2012.0,Sports,Nike Men Woven Navy Blue 3/4 Pants,Bottomwear
39330,Girls,Apparel,Bottomwear,Skirts,White,Summer,2012.0,Casual,Gini & Jony Girls White Skirt,Bottomwear
51611,Women,Apparel,Bottomwear,Leggings,Black,Fall,2012.0,Casual,Kraus Jeans Women Black Leggings,Bottomwear
49636,Women,Apparel,Bottomwear,Skirts,Blue,Summer,2012.0,Casual,Mineral Blue & White Skirt,Bottomwear
16621,Men,Apparel,Bottomwear,Trousers,Olive,Fall,2011.0,Casual,Probase Men Solid Olive Trouser,Bottomwear
51583,Women,Apparel,Bottomwear,Jeggings,Navy Blue,Summer,2012.0,Casual,Wrangler Women Navy Blue Jeggings,Bottomwear
29677,Men,Apparel,Bottomwear,Trousers,Olive,Summer,2012.0,Casual,Indigo Nation Men Olive Trousers,Bottomwear
33509,Women,Apparel,Bottomwear,Shorts,Pink,Summer,2012.0,Casual,Doodle Kids Girl Check Pink Shorts,Bottomwear
31111,Boys,Apparel,Bottomwear,Jeans,Black,Summer,2012.0,Casual,Gini and Jony Boys Solid Black Jeans,Bottomwear
14286,Men,Apparel,Bottomwear,Trousers,Grey,Fall,2011.0,Formal,Belmonte Men Solid Trouser Grey Trousers,Bottomwear
16198,Men,Apparel,Bottomwear,Tracksuits,Black,Fall,2011.0,Sports,Puma Men Poly Knitted Black Tracksuit,Bottomwear
24194,Men,Apparel,Bottomwear,Jeans,Black,Summer,2012.0,Casual,Deni Yo Men Slim Fit Black Jeans,Bottomwear
51360,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Spykar Women Blue Jeans,Bottomwear
57138,Women,Apparel,Bottomwear,Trousers,Brown,Summer,2012.0,Casual,Elle Women Brown Trousers,Bottomwear
12674,Men,Apparel,Bottomwear,Trousers,Olive,Fall,2011.0,Casual,Probase Men Solid Olive Cargos,Bottomwear
26144,Men,Apparel,Bottomwear,Trousers,Black,Summer,2012.0,Formal,John Miller Men Striped Black Trousers,Bottomwear
1804,Men,Apparel,Bottomwear,Shorts,Black,Fall,2010.0,Sports,Kalenji Men Essential Baggy Black Shorts,Bottomwear
