id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,Category
11976,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2013.0,Casual,Fila Men Paramount Plus Black Shoes,Footwear
39283,Men,Footwear,Sandal,Sandals,Khaki,Winter,2018.0,Casual,Red Chief Men Khaki Sandals,Footwear
22718,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,Nike Men Dart 9 MSL Black Sports Shoes,Footwear
49816,Women,Footwear,Flip Flops,Flip Flops,Pink,Winter,2012.0,Casual,iPanema Women Pink Flip Flops,Footwear
12512,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2018.0,Formal,Red Tape Men Formal Black Formal Shoes,Footwear
4503,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,2011.0,Sports,Lotto Men's Zurigo White Blue Red Shoe,Footwear
50151,Women,Footwear,Shoes,Heels,Black,Winter,2012.0,Casual,Rocia Women Black Flats,Footwear
46800,Women,Footwear,Shoes,Sports Shoes,Grey,Summer,2012.0,Sports,Nike Women Smoke Grey Sports Shoes,Footwear
6467,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,Lotto Men's Era White Shoe,Footwear
9700,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2011.0,Formal,Hush Puppies Men Falcon Brown Formal Shoes,Footwear
50170,Women,Footwear,Shoes,Heels,Gold,Winter,2012.0,Casual,Rocia Women Gold Toned & Brown Wedges,Footwear
14490,Men,Footwear,Shoes,Casual Shoes,Grey,Fall,2011.0,Casual,Flying Machine Men Casual Grey Casual Shoes,Footwear
33650,Men,Footwear,Sandal,Sandals,Brown,Summer,2012.0,Casual,Lotto Men Stride Brown Sandals,Footwear
2967,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2010.0,Sports,Puma Men's Mid Pixel Black & Silver Canvas Shoe,Footwear
7779,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011.0,Casual,Converse Men's Chuck Slip Black Canvas Shoe,Footwear
24098,Men,Footwear,Sandal,Sandals,Black,Summer,2012.0,Casual,Red Tape Men Black Sandals,Footwear
44465,Women,Footwear,Shoes,Heels,Red,Summer,2012.0,Casual,Senorita Women Red Wedges,Footwear
35165,Men,Footwear,Sandal,Sandals,Black,Fall,2012.0,Casual,Coolers Men Black Sandals,Footwear
34526,Men,Footwear,Sandal,Sandals,Brown,Summer,2013.0,Casual,Red Tape Men Brown Sandals,Footwear
6852,Men,Footwear,Shoes,Sports Shoes,Grey,Summer,2011.0,Sports,Spalding Men's Running Grey Green Shoe,Footwear
54118,Women,Footwear,Shoes,Heels,Black,Winter,2012.0,Casual,Rocia Women Black Flats,Footwear
59034,Women,Footwear,Shoes,Heels,Bronze,Winter,2012.0,Casual,Carlton London Women Black Heels,Footwear
