id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,Category
11538,Women,Apparel,Topwear,Kurtas,White,Summer,2011.0,Ethnic,W Women Printed White Kurtas,Topwear
6906,Women,Apparel,Topwear,Tshirts,Red,Summer,2011.0,Casual,Tantra Women's Cool Red T-shirt,Topwear
11250,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Formal,John Miller Men White Striped Blue Shirt,Topwear
7917,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Proline Men Red & White Striped Polo T-shirt,Topwear
6255,Women,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Lee Women's Byonce White T-shirt,Topwear
24949,Women,Apparel,Topwear,Tshirts,Peach,Summer,2012.0,Casual,United Colors of Benetton Women Peach T-shirt,Topwear
37569,Girls,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Madagascar3 Infant Girls Light Green T-Shirt,Topwear
13738,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Belmonte Men Check Green Shirts,Topwear
23200,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Highlander Men Green Check Shirt,Topwear
44635,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Nike Men Grey Printed T-shirt,Topwear
16209,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Puma Men Grey Polo Tshirt,Topwear
6785,Men,Apparel,Topwear,Jackets,Red,Summer,2011.0,Casual,Timberland Men Falmouth Cycling Jac Red Jacket,Topwear
34295,Women,Apparel,Topwear,Dupatta,Orange,Summer,2012.0,Ethnic,Fabindia Orange Silk Dupatta,Topwear
21406,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Locomotive Men Printed Navy Blue T-shirt,Topwear
15992,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Turtle Check Men Blue Shirt,Topwear
8375,Girls,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Doodle Girl's Dont Worry Hippie Blue Teen Kidswear,Topwear
27293,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012.0,Ethnic,Mother Earth Women Blue Kurta,Topwear
8888,Men,Apparel,Topwear,Shirts,Pink,Fall,2011.0,Formal,John Miller Men Solid Pink Shirt,Topwear
43069,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Nike Men Grey Tailwind T-shirt,Topwear
12640,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011.0,Casual,Probase Men Solid Grey Tshirts,Topwear
17548,Men,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Formal,Mark Taylor Men Grey & White Striped Shirt,Topwear
52119,Women,Apparel,Topwear,Tops,Navy Blue,Summer,2012.0,Casual,Myntra Women Navy Blue Printed Top,Topwear
